city,timestamp,temperature,season
New York,2010-01-01,-4.498716148879827,winter
New York,2010-01-02,7.569226998581692,winter
New York,2010-01-03,5.867606982009747,winter
New York,2010-01-04,4.904334385633324,winter
New York,2010-01-05,-9.555245849714604,winter
New York,2010-01-06,6.447025921793193,winter
New York,2010-01-07,1.1003147362436485,winter
New York,2010-01-08,9.838969374748281,winter
New York,2010-01-09,1.968684536227427,winter
New York,2010-01-10,0.32959090343085407,winter
New York,2010-01-11,6.405705648695166,winter
New York,2010-01-12,-0.3629245068395346,winter
New York,2010-01-13,-7.218949780041042,winter
New York,2010-01-14,-0.28398010676325214,winter
New York,2010-01-15,-3.238222362180594,winter
New York,2010-01-16,-2.7317192264226713,winter
New York,2010-01-17,1.7043395307963523,winter
New York,2010-01-18,-6.238150845464514,winter
New York,2010-01-19,-0.41527764247599624,winter
New York,2010-01-20,6.050067176694867,winter
New York,2010-01-21,-6.122012195744874,winter
New York,2010-01-22,-3.0364379426846315,winter
New York,2010-01-23,-2.841892236629047,winter
New York,2010-01-24,-0.33794774840629616,winter
New York,2010-01-25,-2.5353785920968583,winter
New York,2010-01-26,1.6179784527730972,winter
New York,2010-01-27,-1.041186201830113,winter
New York,2010-01-28,4.910384876020807,winter
New York,2010-01-29,-12.601217194496678,winter
New York,2010-01-30,5.661769672968932,winter
New York,2010-01-31,5.428920759881326,winter
New York,2010-02-01,-5.915820858172953,winter
New York,2010-02-02,4.932698112984625,winter
New York,2010-02-03,7.225986857801426,winter
New York,2010-02-04,5.92122296069604,winter
New York,2010-02-05,1.135453275027911,winter
New York,2010-02-06,4.237451909474405,winter
New York,2010-02-07,10.520946652918377,winter
New York,2010-02-08,-0.35461761756005744,winter
New York,2010-02-09,4.152058200786788,winter
New York,2010-02-10,10.75169047627718,winter
New York,2010-02-11,-6.690558218204949,winter
New York,2010-02-12,2.106683111746154,winter
New York,2010-02-13,5.352870143922765,winter
New York,2010-02-14,-2.0025543015038614,winter
New York,2010-02-15,-2.536705704647988,winter
New York,2010-02-16,-2.341184970601056,winter
New York,2010-02-17,6.394675908772079,winter
New York,2010-02-18,10.411795807887039,winter
New York,2010-02-19,-5.613124395725104,winter
New York,2010-02-20,-8.259895781732348,winter
New York,2010-02-21,-7.6040849935926715,winter
New York,2010-02-22,-11.248607005927425,winter
New York,2010-02-23,-3.859248847180663,winter
New York,2010-02-24,2.75305274598388,winter
New York,2010-02-25,-0.6939672466053416,winter
New York,2010-02-26,1.5997961710048583,winter
New York,2010-02-27,-0.920253862015994,winter
New York,2010-02-28,-3.4444295450252396,winter
New York,2010-03-01,16.101875901639076,spring
New York,2010-03-02,7.166534131768316,spring
New York,2010-03-03,0.4248070693976409,spring
New York,2010-03-04,10.795491355366819,spring
New York,2010-03-05,13.831053847327937,spring
New York,2010-03-06,16.838785556715422,spring
New York,2010-03-07,8.64743418102433,spring
New York,2010-03-08,12.564037816795759,spring
New York,2010-03-09,8.97332743087578,spring
New York,2010-03-10,19.612720417945738,spring
New York,2010-03-11,15.416293016983989,spring
New York,2010-03-12,16.693228631911346,spring
New York,2010-03-13,4.853048562010242,spring
New York,2010-03-14,17.926650585171046,spring
New York,2010-03-15,11.9862668035757,spring
New York,2010-03-16,8.500638520423804,spring
New York,2010-03-17,8.118829871857429,spring
New York,2010-03-18,1.8235174700430061,spring
New York,2010-03-19,12.979694299541642,spring
New York,2010-03-20,14.257102111855193,spring
New York,2010-03-21,7.143241182974409,spring
New York,2010-03-22,7.922779412626669,spring
New York,2010-03-23,6.073945129636378,spring
New York,2010-03-24,6.285338108000159,spring
New York,2010-03-25,8.257787778421967,spring
New York,2010-03-26,6.8085922036994155,spring
New York,2010-03-27,4.742862469491277,spring
New York,2010-03-28,8.167669781820821,spring
New York,2010-03-29,10.788928534110543,spring
New York,2010-03-30,6.85051163738319,spring
New York,2010-03-31,12.806187582662721,spring
New York,2010-04-01,13.599228765029157,spring
New York,2010-04-02,17.564638030604495,spring
New York,2010-04-03,5.936385921076334,spring
New York,2010-04-04,6.800326185714922,spring
New York,2010-04-05,7.7911474774112435,spring
New York,2010-04-06,13.056741735603348,spring
New York,2010-04-07,7.015546546039522,spring
New York,2010-04-08,7.079739969344293,spring
